name,state_ab,income
Alabama,AL,"49936"
Alaska,AK,"68734"
Arizona,AZ,"62283"
Arkansas,AR,"49781"
California,CA,"70489"
Colorado,CO,"73034"
Connecticut,CT,"72812"
Delware,DE,"65012"
DC,DC,"85750"
Florida,FL,"54644"
Georgia,GA,"55821"
Hawaii,HI,"80108"
Idaho,ID,"58728"
Illinois,IL,"70145"
Indiana,IN,"59892"
Iowa,IA,"68718"
Kansas,KS,"63938"
Kentucky,KY,"54555"
Louisiana,LA,"49973"
Maine,ME,"58663"
Maryland,MD,"86223"
Massachusetts,MA,"86345"
Michigan,MI,"60449"
Minnesota,MN,"71817"
Mississippi,MS,"42781"
Missouri,MO,"61726"
Montana,MT,"57679"
Nebraska,NE,"67575"
Nevada,NV,"61864"
New Hampshire,NH,"81346"
New Jersey,NJ,"74176"
New Mexico,NM,"48283"
New York,NY,"67274"
North Carolina,NC,"53369"
North Dakota,ND,"66505"
Ohio,OH,"61633"
Oklahoma,OK,"54434"
Oregon,OR,"69165"
Pennsylvania,PA,"64524"
Rhode Island,RI,"62266"
South Carolina,SC,"57444"
South Dakota,SD,"59463"
Tennessee,TN,"56060"
Texas,TX,"59785"
Utah,UT,"77067"
Vermont,VT,"70066"
Virginia,VA,"77151"
Washington,WA,"79726"
West Virgina,WV,"50573"
Wisconsin,WI,"62629"
Wyoming,WY,"62539"
